episode,score
1,30.972043605220286
2,30.980226266763268
3,30.953114938032062
4,27.07329261723067
5,18.78711910754755
6,33.144438219634985
7,33.461595835973434
8,33.259467443564205
9,33.72475592220747
10,33.30303777091303
11,28.454695348783627
12,19.601758204140683
13,19.608312886875034
14,18.252595402037514
15,19.525261323101578
16,41.38517757498175
17,41.60937791394078
18,41.622374293904265
19,30.946037153699372
20,31.200292543322263
21,21.747602023674574
22,26.536187078231848
23,21.82055750462412
24,24.943180735035845
25,19.519115865892463
26,19.5295394233543
27,19.55406958372532
28,19.518009193003376
29,19.40775894276063
30,19.577892802610357
31,19.348787888996018
32,19.854407376740554
33,19.290938975153274
34,19.497050669039925
35,34.16984571509438
36,19.543021931336032
37,19.527436791818374
38,19.37455028039996
39,23.362154282073806
40,20.747181960518574
41,33.96606309259408
42,20.405765177275036
43,40.45786166415994
44,23.559252515689444
45,20.756888600683098
46,25.72218311639854
47,18.38783828214268
48,32.4244589575184
49,46.29330262960238
50,26.73726141405037
51,21.23099495373933
52,20.06308148596261
53,19.27598012782798
54,22.8762604045887
55,29.14272098421657
56,19.740368375734562
57,21.201582511501705
58,16.894797987551012
59,25.2800526091054
60,26.110072459759444
61,39.02482928672843
62,32.368482271579175
63,34.33393643774047
64,33.52044192841634
65,21.872275312318507
66,30.932564455242446
67,31.998161623407167
68,32.084625535668955
69,32.24558009720499
70,32.02677869312457
71,32.20632830953298
72,31.864942800602176
73,32.27655050670538
74,32.16258746917001
75,32.28673801244425
76,32.017083417148015
77,32.250747064924155
78,31.847536874716475
79,32.12475291952723
80,32.01373235347894
81,32.26959601093093
82,32.24345990691539
83,32.25898515547651
84,32.200801006998105
85,31.96865381504402
86,32.30245042879858
87,32.34283204122636
88,31.92906382515919
89,32.09465269532617
90,32.14730658756728
91,32.28795430346513
92,32.12699366760974
93,32.13142644602038
94,31.225124161474277
95,32.275909286682285
96,32.09760395134708
97,32.18142548959125
98,31.996814303704944
99,32.24237366288102
100,32.24284168685037
101,32.19005813243934
102,32.03067066083372
103,32.308204439480846
104,32.29454967687037
105,32.23897986086679
106,32.24335998873739
107,32.30586797399088
108,32.155664198241965
109,31.929881792710507
110,31.934606950406724
111,31.832472677214078
112,31.965534615842
113,31.828800756827825
114,31.873900996096797
115,32.26513077024407
116,32.269594363903245
117,32.051166997651016
118,32.212963239598665
119,32.27714589384127
120,32.02583354018176
121,31.83960988841726
122,31.932593046735693
123,32.247882941592444
124,31.67984194983113
125,32.05511086072053
126,32.08688502525535
127,32.08925259292433
128,31.82430158471841
129,31.96872317041244
130,32.258727129989744
131,32.188084224944326
132,32.321610166519605
133,31.986289782969607
134,32.02457570755965
135,32.337644193900445
136,32.23623849470962
137,32.275507099584914
138,32.20845934199528
139,32.19178672603057
140,31.805877544212226
141,32.12590550016903
142,32.22147864196579
143,32.266139645636834
144,32.10115620487475
145,32.061329995104956
146,31.53651917924359
147,32.020831679058425
148,32.314856501942124
149,32.15074844774393
150,32.080437436517066
151,32.25230469757435
152,31.90600108058241
153,32.11414079855887
154,32.28978814305614
155,32.07911274257921
156,31.83511190008242
157,31.79228403816952
158,31.764277724541262
159,32.133529631386395
160,31.972098697685478
161,32.27434751825525
162,32.05433172354948
163,32.156137077406015
164,32.146416804452755
165,32.20667518963979
166,32.296239773599375
167,31.922674136540824
168,31.82841628317142
169,32.08839554177587
170,31.696414548223913
171,31.936254988203153
172,32.261729061856315
173,31.943764566453968
174,31.988313270958532
175,32.03289255217275
176,32.13337631629796
177,32.0934519856945
178,31.90416835589391
179,31.98568641018601
180,32.24836917724769
181,32.17117996838299
182,32.2608822825437
183,32.183318441093355
184,32.244236497119715
185,31.811478179855868
186,32.00923553848066
187,32.30734753610888
188,32.22509823818846
189,32.134490052427815
190,31.998725646687262
191,32.23500262826385
192,32.29051195726505
193,31.99650392959236
194,32.27638852364511
195,31.983542974636986
196,31.995665595590076
197,32.10950821701272
198,32.136806322284755
199,32.24084829463127
200,32.309743236004124
201,32.211587171189116
202,32.044493790751474
203,32.028708092031906
204,32.03529108673435
205,32.319686965235576
206,31.805270113655475
207,32.00793618922812
208,31.767903019712275
209,32.112641339038355
210,32.307441636127294
211,32.32465209959752
212,32.16840360430251
213,31.882235401101642
214,32.30177638134499
215,32.08069367829183
216,32.07751626778759
217,32.320138635261394
218,32.07248017187905
219,32.18053388960737
220,32.2623933057568
221,32.235328009921666
222,31.59320167267299
223,31.575882299862062
224,31.960797876695793
225,32.305479207587645
