time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.96300047584e-07,-5.97035498684e-08,10.0006674798,6.28287651822,0.000308808959248,0.0,-2.52945589823e-05,-1.34639259971e-05,0.022248897326,-0.0182002609895,0.0138437891675,0.0,412.00182809114085,413.2237068108736,411.1777699837819,409.56258411659775
0.12000000000000001,-1.22122253841e-05,-1.24736699974e-05,10.0069959659,6.2817448225,0.000843089550354,0.0,-0.000451027753189,-0.000524656659548,0.18868689422,-0.0202180948416,-0.00347262285295,0.0,458.2306084546163,456.85213416403855,457.5347486581921,457.37416025026295
0.18,-6.13680793569e-05,-8.91332891726e-05,10.0280264939,6.28080988562,0.000703162681297,0.0,-0.00116402373723,-0.00217385458642,0.512241995577,-0.00763124436708,-0.000143290465314,0.0,502.7927252202121,503.03388150549864,502.4846583648843,503.39625180616224
0.23999999999999996,-0.000145806744837,-0.000270438917732,10.0619676333,6.28074581825,0.000348422966796,0.0,-0.00163562435728,-0.00389388052059,0.619076918272,0.00958877031568,-0.0211163838871,0.0,440.35894235598926,438.62094229874543,438.50563806623103,439.9335935604993
0.3,-0.000246594605034,-0.000558920195215,10.1049194835,6.2811019476,6.28189880658,0.0,-0.00156084634971,-0.00566649920627,0.812533733772,-0.0026119253616,-0.043798189868,0.0,466.4618907576871,464.68728289280335,466.96611237725426,466.0134501111193
0.36000000000000004,-0.000291928159441,-0.000957799738451,10.1638584905,6.28086604217,6.2798733628,0.0,0.000361858992813,-0.00765568040233,1.15182061547,-0.00671166918463,-0.0188614041535,0.0,506.3090868376539,508.099348750367,508.6998475882721,508.4063062857304
0.4200000000000001,-0.000207552841979,-0.00145915594028,10.2332073985,6.28117098569,6.27911210431,0.0,0.00253231645686,-0.00905448259889,1.15980123542,0.0218657277834,-0.00255601736138,0.0,407.6418848323286,409.09625655647164,406.4004584997709,408.95361742872325
0.48000000000000015,2.86118236671e-05,-0.00203885961809,10.305656875,6.28221423497,6.27864340594,0.0,0.00536799147917,-0.0101475046024,1.25508132817,0.00645165785795,-0.0212285856035,0.0,437.70806411624295,436.15159449718624,437.22875401108405,435.9427535077513
0.5400000000000001,0.000437774047623,-0.00266379506744,10.3815134462,6.28291138104,6.27714018999,0.0,0.00839426275928,-0.0106334702999,1.27345006691,0.0203452782837,-0.0340784114164,0.0,412.26223898618156,411.12520659774367,411.2848006380018,412.513280944175
0.6000000000000002,0.00107333153921,-0.00330288376279,10.4608062643,0.000738282405269,6.27466862347,0.0,0.0130127752336,-0.0105551325129,1.36953189467,0.00881178850445,-0.0618373798587,0.0,438.6574407556691,436.3452947754264,437.5443256884682,436.5831012283713
0.6600000000000003,0.00206968050431,-0.00391663217916,10.5488089979,0.00115992473429,6.27140306835,0.0,0.0205973756946,-0.00984796801446,1.56364347235,0.00319556293872,-0.0426697400936,0.0,467.856099067379,469.34402496713403,466.9050908669251,466.46665495774164
0.7200000000000003,0.00357601139754,-0.00448121749723,10.6470308839,0.00123619416284,6.26868411352,0.0,0.0298978393767,-0.008956865106,1.71020783202,-0.00288622091156,-0.0512149948241,0.0,453.53038559673723,452.8424129685772,454.7159106479212,454.22846249580437
0.7800000000000004,0.00572859117361,-0.00499002552753,10.7557800677,0.00100803014294,6.26535785454,0.0,0.0422236245114,-0.00802727041147,1.91443973343,-0.00570194546714,-0.0656046032595,0.0,472.81457269144823,471.70280115705816,471.08219221203507,470.8645045670149
0.8400000000000004,0.00862115578661,-0.00545311100959,10.8723375485,0.000944654278112,6.26131040967,0.0,0.054574441981,-0.00742710981088,1.97070644623,0.00691013673215,-0.0714453255816,0.0,427.14831585501247,426.6463284320768,425.50403904675994,426.5823387578652
0.9000000000000005,0.0123381376386,-0.00587826627561,10.9924363273,0.00183488606807,6.25684384344,0.0,0.0697433163478,-0.00667869343844,2.03246769694,0.0272449972615,-0.0812320722517,0.0,428.6859874976079,427.84899749061015,427.850074761084,429.57771498217403
0.9600000000000005,0.0170926501237,-0.00623391085086,11.1176464628,0.00379919626177,6.25150466719,0.0,0.0892536722402,-0.00498895147998,2.14099044131,0.0419272181796,-0.112765969288,0.0,445.2197084005035,442.62510421928675,442.8400284180996,444.04644214585227
1.0200000000000005,0.0230586808874,-0.00645364113605,11.246988774,0.00680653950667,6.24475301741,0.0,0.110230804087,-0.00207962485906,2.1703407993,0.0628573075802,-0.112055194131,0.0,418.6801543611068,418.7298856173455,417.55797729688175,419.38150017682074
1.0800000000000005,0.0305245065211,-0.0064171081155,11.3810133062,0.0108215538603,6.23803303527,0.0,0.139331998441,0.00370867601758,2.29686320457,0.0739980811542,-0.111889049302,0.0,449.50172101299205,449.50420734253925,449.936511099233,450.84076794873033
1.1400000000000006,0.0398277163871,-0.00595769336917,11.5214825699,0.0155974960218,6.23119278357,0.0,0.171445423457,0.0120664409707,2.38522385752,0.0889354667809,-0.118606357577,0.0,438.7083201137481,438.1384158934579,438.118360620331,439.36360451944535
1.2000000000000006,0.0512992697582,-0.00486524317675,11.669142261,0.0211287499361,6.22413266334,0.0,0.211698419006,0.0249383288098,2.53638497249,0.0980023134117,-0.115857992506,0.0,458.7004720567445,458.90671505816994,458.02505224448987,458.7523879218253
1.2600000000000007,0.0651997680465,-0.00292824653788,11.8235048794,0.0268806371741,6.21713693125,0.0,0.252323704203,0.0401932616282,2.60881111275,0.0912085638987,-0.118111514011,0.0,435.256068023254,435.0549318665369,434.7533280237913,434.19178257835887
